t_ms,V_mV,n,h,alpha,volL_L,PAO2_mmHg,PaO2_mmHg,gtonic_nS,SaO2_pct
5.08621639e+01,-6.05010237e+01,3.80061910e-04,7.46385439e-01,1.90553281e-04,2.04996197e+00,9.88390255e+01,9.75616145e+01,8.53526696e-02,9.64633014e+01
5.21766612e+01,-6.05066200e+01,3.79509609e-04,7.46415385e-01,1.90307854e-04,2.04989802e+00,9.88356640e+01,9.75558609e+01,8.53751032e-02,9.64627984e+01
5.34911586e+01,-6.05115321e+01,3.79025149e-04,7.46445352e-01,1.90062745e-04,2.04983414e+00,9.88322963e+01,9.75501173e+01,8.53975023e-02,9.64622961e+01
5.51106004e+01,-6.05167484e+01,3.78510876e-04,7.46482297e-01,1.89761210e-04,2.04975557e+00,9.88281388e+01,9.75430549e+01,8.54250506e-02,9.64616784e+01
5.66715400e+01,-6.05210068e+01,3.78091041e-04,7.46517929e-01,1.89471025e-04,2.04967994e+00,9.88241226e+01,9.75362619e+01,8.54515549e-02,9.64610841e+01
5.82324795e+01,-6.05246041e+01,3.77736212e-04,7.46553576e-01,1.89181288e-04,2.04960443e+00,9.88200977e+01,9.75294827e+01,8.54780118e-02,9.64604909e+01
5.97934191e+01,-6.05276220e+01,3.77438246e-04,7.46589236e-01,1.88891999e-04,2.04952903e+00,9.88160643e+01,9.75227172e+01,8.55044216e-02,9.64598987e+01
6.13543586e+01,-6.05301319e+01,3.77190026e-04,7.46624904e-01,1.88603158e-04,2.04945375e+00,9.88120224e+01,9.75159653e+01,8.55307846e-02,9.64593076e+01
6.32585873e+01,-6.05325967e+01,3.76945605e-04,7.46668425e-01,1.88251400e-04,2.04936206e+00,9.88070802e+01,9.75077467e+01,8.55628829e-02,9.64585879e+01
6.51628159e+01,-6.05344974e+01,3.76756274e-04,7.46711949e-01,1.87900308e-04,2.04927055e+00,9.88021255e+01,9.74995480e+01,8.55949129e-02,9.64578697e+01
6.70670446e+01,-6.05359179e+01,3.76613768e-04,7.46755473e-01,1.87549882e-04,2.04917920e+00,9.87971586e+01,9.74913690e+01,8.56268754e-02,9.64571531e+01
